EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
809155,MONTGOMERY CO.,MT ZION,01/24/2019,1356,Flood, , ,0,0,0,0,MD,EST-5, ,135015,C,31,LWX,0,0,Fire Department/Rescue,Heavy Rain, , ,2,NNE,2,WSW,UNITY,01/24/2019,1657,39.2136,-77.091,39.2149,-77.0899,"Zion Road closed due to flooding of the Hawlings River. Water depth on road of about one foot.","A prolonged period of rain in a warm advection regime ahead of an approaching cold front led to 1-2 inches of rain across portions of Maryland. This resulted in isolated instances of flooding on the 24th.",1
824950,FREDERICK CO.,JIMTOWN,05/05/2019,1130,Flood, , ,0,0,0,0,MD,EST-5, ,137393,C,21,LWX,0,0,Emergency Manager,Heavy Rain, , ,0,SSE,1,S,JIMTOWN,05/05/2019,1330,39.5944,-77.3969,39.5918,-77.399,"Hessong Bridge Road was closed at Big Hunting Creek.","Low pressure tracked along a stalled boundary, passing through the area overnight on the 4th into the 5th. The lift associated with the low and the boundary combined with high amounts of moisture from the Atlantic Ocean and Gulf of Mexico, bringing heavy rain to the area. The rain led to several instances of flooding.",2
824974,FREDERICK CO.,ST ANTHONY,05/05/2019,1130,Flood, , ,0,0,0,0,MD,EST-5, ,137393,C,21,LWX,0,0,911 Call Center,Heavy Rain, , ,3,NW,3,WNW,EMMITSBURG,05/05/2019,1330,39.7172,-77.3917,39.719,-77.3889,"Hornets Nest Road was closed between Friends Creek Road and Riffle Road.","Low pressure tracked along a stalled boundary, passing through the area overnight on the 4th into the 5th. The lift associated with the low and the boundary combined with high amounts of moisture from the Atlantic Ocean and Gulf of Mexico, bringing heavy rain to the area. The rain led to several instances of flooding.",3
824964,FREDERICK CO.,EMMITSBURG,05/05/2019,1130,Flood, , ,0,0,0,0,MD,EST-5, ,137393,C,21,LWX,0,0,911 Call Center,Heavy Rain, , ,1,WNW,1,NW,EMMITSBURG,05/05/2019,1330,39.7044,-77.3546,39.7067,-77.338,"Annandale Road was closed between Hampton Valley Road and Mountain View Road.","Low pressure tracked along a stalled boundary, passing through the area overnight on the 4th into the 5th. The lift associated with the low and the boundary combined with high amounts of moisture from the Atlantic Ocean and Gulf of Mexico, bringing heavy rain to the area. The rain led to several instances of flooding.",4
824963,FREDERICK CO.,EMMITSBURG,05/05/2019,1130,Flood, , ,0,0,0,0,MD,EST-5, ,137393,C,21,LWX,0,0,Emergency Manager,Heavy Rain, , ,1,SE,1,ESE,EMMITSBURG,05/05/2019,1330,39.6938,-77.3188,39.6932,-77.3118,"Creamery Road was closed.","Low pressure tracked along a stalled boundary, passing through the area overnight on the 4th into the 5th. The lift associated with the low and the boundary combined with high amounts of moisture from the Atlantic Ocean and Gulf of Mexico, bringing heavy rain to the area. The rain led to several instances of flooding.",5
824959,FREDERICK CO.,EMMITSBURG,05/05/2019,1130,Flood, , ,0,0,0,0,MD,EST-5, ,137393,C,21,LWX,0,0,Emergency Manager,Heavy Rain, , ,5,ESE,5,ESE,EMMITSBURG,05/05/2019,1330,39.6752,-77.2463,39.676,-77.2444,"Bridgeport Road was closed.","Low pressure tracked along a stalled boundary, passing through the area overnight on the 4th into the 5th. The lift associated with the low and the boundary combined with high amounts of moisture from the Atlantic Ocean and Gulf of Mexico, bringing heavy rain to the area. The rain led to several instances of flooding.",6
824957,FREDERICK CO.,MOTTERS,05/05/2019,1130,Flood, , ,0,0,0,0,MD,EST-5, ,137393,C,21,LWX,0,0,911 Call Center,Heavy Rain, , ,2,NE,2,SE,EMMITSBURG,05/05/2019,1330,39.6738,-77.2954,39.6754,-77.3002,"Simmons Road was closed between Four Points Bridge Road and Keysville Road.","Low pressure tracked along a stalled boundary, passing through the area overnight on the 4th into the 5th. The lift associated with the low and the boundary combined with high amounts of moisture from the Atlantic Ocean and Gulf of Mexico, bringing heavy rain to the area. The rain led to several instances of flooding.",7
824956,FREDERICK CO.,MOTTERS,05/05/2019,1130,Flood, , ,0,0,0,0,MD,EST-5, ,137393,C,21,LWX,0,0,911 Call Center,Heavy Rain, , ,3,ENE,3,ENE,MOTTERS,05/05/2019,1330,39.6663,-77.2846,39.6635,-77.2864,"Keysville Road was closed between Four Points road and Sixes Road.","Low pressure tracked along a stalled boundary, passing through the area overnight on the 4th into the 5th. The lift associated with the low and the boundary combined with high amounts of moisture from the Atlantic Ocean and Gulf of Mexico, bringing heavy rain to the area. The rain led to several instances of flooding.",8
824955,FREDERICK CO.,GRACEHAM,05/05/2019,1130,Flood, , ,0,0,0,0,MD,EST-5, ,137393,C,21,LWX,0,0,911 Call Center,Heavy Rain, , ,2,NNW,2,NNW,GRACEHAM,05/05/2019,1330,39.6421,-77.3928,39.6501,-77.3882,"Roddy Road was closed between Old Kiln Road and Roddy Creek Road.","Low pressure tracked along a stalled boundary, passing through the area overnight on the 4th into the 5th. The lift associated with the low and the boundary combined with high amounts of moisture from the Atlantic Ocean and Gulf of Mexico, bringing heavy rain to the area. The rain led to several instances of flooding.",9
824954,FREDERICK CO.,MOTTERS,05/05/2019,1130,Flood, , ,0,0,0,0,MD,EST-5, ,137393,C,21,LWX,0,0,911 Call Center,Heavy Rain, , ,3,ESE,3,E,MOTTERS,05/05/2019,1330,39.632,-77.2844,39.6499,-77.2706,"Sixes Road was closed between Sixes Bridge Road and Grimes Road.","Low pressure tracked along a stalled boundary, passing through the area overnight on the 4th into the 5th. The lift associated with the low and the boundary combined with high amounts of moisture from the Atlantic Ocean and Gulf of Mexico, bringing heavy rain to the area. The rain led to several instances of flooding.",10
